rodada;qtd_amostra;execucao;tmp_total;tmp_python
0;1000;0;5406;0.125001430511475
0;1000;1;2077;0.125000953674316
0;1000;2;2110;0.140626430511475
0;1000;3;2093;0.125000953674316
0;1000;4;2127;0.171876907348633
0;1000;5;2110;0.125001430511475
0;1000;6;2093;0.125001430511475
0;1000;7;2077;0.109376192092896
0;1000;8;2080;0.125001430511475
0;1000;9;2123;0.109376192092896
0;1000;10;2110;0.109375238418579
0;1000;11;2093;0.140625238418579
0;1000;12;2110;0.109376192092896
0;1000;13;2110;0.125001668930054
0;1000;14;2094;0.125000953674316
0;1000;15;2110;0.125001668930054
0;1000;16;2093;0.109376430511475
0;1000;17;2093;0.125000953674316
0;1000;18;2110;0.109376430511475
0;1000;19;2094;0.109376192092896
0;1000;20;2063;0.125001430511475
0;1000;21;2110;0.125001430511475
0;1000;22;2107;0.125000953674316
0;1000;23;2110;0.125000953674316
0;1000;24;2093;0.125001430511475
0;1000;25;2143;0.109376192092896
0;1000;26;2107;0.125000953674316
0;1000;27;2127;0.125001192092896
0;1000;28;2343;0.125001430511475
0;1000;29;2173;0.187502145767212
0;1000;30;2094;0.109376192092896
0;1000;31;2110;0.125000953674316
0;1000;32;2076;0.125000953674316
0;1000;33;2094;0.109376192092896
0;1000;34;2093;0.125000476837158
0;1000;35;2110;0.124999284744263
0;1000;36;2093;0.125001668930054
0;1000;37;2094;0.125001430511475
0;1000;38;2110;0.109376192092896
0;1000;39;2126;0.140626907348633
0;1000;40;2094;0.125001668930054
0;1000;41;2110;0.125001668930054
0;1000;42;2123;0.109375715255737
0;1000;43;2127;0.124999761581421
0;1000;44;2097;0.109376430511475
0;1000;45;2123;0.109376192092896
0;1000;46;2110;0.125001668930054
0;1000;47;2123;0.109376192092896
0;1000;48;2094;0.125000953674316
0;1000;49;2096;0.125002145767212
1;2000;0;2140;0.156251668930054
1;2000;1;2127;0.156251668930054
1;2000;2;2157;0.156251668930054
1;2000;3;2140;0.156252145767212
1;2000;4;2140;0.156251668930054
1;2000;5;2170;0.156252145767212
1;2000;6;2126;0.156252145767212
1;2000;7;2174;0.156252145767212
1;2000;8;2123;0.156251668930054
1;2000;9;2140;0.156249284744263
1;2000;10;2127;0.156252384185791
1;2000;11;2156;0.156251668930054
1;2000;12;2110;0.156250715255737
1;2000;13;2107;0.156251668930054
1;2000;14;2140;0.156251192092896
1;2000;15;2390;0.375004053115845
1;2000;16;2126;0.156250476837158
1;2000;17;2344;0.328128576278687
1;2000;18;2126;0.156251430511475
1;2000;19;2140;0.156251668930054
1;2000;20;2140;0.156250953674316
1;2000;21;2124;0.156251668930054
1;2000;22;2143;0.156252145767212
1;2000;23;2140;0.156252145767212
1;2000;24;2140;0.156251192092896
1;2000;25;2140;0.156252145767212
1;2000;26;2156;0.156251668930054
1;2000;27;2140;0.156251668930054
1;2000;28;2157;0.156251192092896
1;2000;29;2127;0.171875476837158
1;2000;30;2123;0.156252145767212
1;2000;31;2140;0.156251668930054
1;2000;32;2140;0.156250953674316
1;2000;33;2237;0.171877145767212
1;2000;34;2156;0.156251668930054
1;2000;35;2124;0.156251668930054
1;2000;36;2220;0.187501668930054
1;2000;37;2156;0.156251668930054
1;2000;38;2140;0.156251907348633
1;2000;39;2110;0.156251907348633
1;2000;40;2124;0.156252145767212
1;2000;41;2140;0.156251192092896
1;2000;42;2140;0.171875953674316
1;2000;43;2140;0.156251430511475
1;2000;44;2157;0.156251668930054
1;2000;45;2140;0.156251192092896
1;2000;46;2110;0.156250953674316
1;2000;47;2597;0.609382390975952
1;2000;48;2140;0.156252384185791
1;2000;49;2123;0.156251430511475
2;4000;0;2393;0.421879529953003
2;4000;1;4374;2.39065504074097
2;4000;2;2750;0.750010013580322
2;4000;3;2390;0.328128576278687
2;4000;4;2360;0.343751668930054
2;4000;5;4126;2.12502646446228
2;4000;6;4374;2.34377980232239
2;4000;7;2343;0.359379291534424
2;4000;8;2330;0.343753337860107
2;4000;9;4250;2.28127908706665
2;4000;10;2780;0.796885013580322
2;4000;11;2330;0.343754053115845
2;4000;12;2343;0.359378814697266
2;4000;13;3640;1.64064574241638
2;4000;14;4267;2.29690384864807
2;4000;15;2297;0.328129291534424
2;4000;16;2373;0.390629053115845
2;4000;17;4377;2.34377908706665
2;4000;18;4266;2.26565361022949
2;4000;19;2327;0.343754768371582
2;4000;20;2500;0.515633821487427
2;4000;21;4297;2.29690289497375
2;4000;22;2703;0.703133344650269
2;4000;23;2297;0.343753576278687
2;4000;24;2343;0.343752861022949
2;4000;25;4313;2.34377956390381
2;4000;26;4297;2.31252980232239
2;4000;27;2327;0.312504053115845
2;4000;28;2360;0.375003576278687
2;4000;29;4250;2.28127837181091
2;4000;30;2313;0.343753814697266
2;4000;31;2470;0.484380960464478
2;4000;32;2343;0.359378814697266
2;4000;33;2764;0.765634775161743
2;4000;34;2346;0.328128814697266
2;4000;35;2360;0.359378814697266
2;4000;36;2357;0.359379291534424
2;4000;37;2673;0.671883106231689
2;4000;38;2327;0.343754053115845
2;4000;39;2393;0.343753814697266
2;4000;40;2404;0.421880006790161
2;4000;41;4220;2.23440289497375
2;4000;42;2720;0.718758821487427
2;4000;43;2420;0.328129291534424
2;4000;44;2453;0.437505006790161
2;4000;45;4330;2.35940432548523
2;4000;46;4343;2.32815361022949
2;4000;47;2360;0.359379291534424
2;4000;48;2327;0.343753814697266
2;4000;49;3593;1.60939502716064
3;8000;0;2576;0.578131914138794
3;8000;1;2594;0.562507152557373
3;8000;2;2626;0.640630960464478
3;8000;3;4327;2.32815361022949
3;8000;4;4487;2.43753051757813
3;8000;5;2623;0.593756437301636
3;8000;6;2593;0.57813024520874
3;8000;7;2720;0.671883106231689
3;8000;8;4467;2.39065504074097
3;8000;9;4297;2.31252861022949
3;8000;10;2643;0.609382629394531
3;8000;11;2670;0.640630722045898
3;8000;12;4470;2.4531557559967
3;8000;13;4577;2.56253147125244
3;8000;14;2656;0.609382390975952
3;8000;15;2644;0.656257390975952
3;8000;16;4513;2.53128218650818
3;8000;17;4610;2.60940766334534
3;8000;18;2780;0.765634059906006
3;8000;19;2610;0.609381914138794
3;8000;20;4563;2.5469069480896
3;8000;21;4594;2.59378242492676
3;8000;22;2610;0.578132390975952
3;8000;23;2670;0.671882629394531
3;8000;24;5033;2.96878743171692
3;8000;25;4610;2.6094069480896
3;8000;26;2780;0.734384059906006
3;8000;27;2673;0.671882629394531
3;8000;28;4607;2.60940766334534
3;8000;29;4597;2.57815742492676
3;8000;30;2560;0.562506914138794
3;8000;31;2596;0.578131198883057
3;8000;32;4640;2.59378290176392
3;8000;33;4577;2.56253218650818
3;8000;34;2547;0.562506914138794
3;8000;35;2656;0.640632629394531
3;8000;36;4284;2.26565289497375
3;8000;37;4606;2.62503218650818
3;8000;38;2674;0.64063286781311
3;8000;39;2593;0.593756675720215
3;8000;40;4280;2.25002789497375
3;8000;41;4597;2.57815670967102
3;8000;42;2686;0.640633106231689
3;8000;43;2640;0.625007390975952
3;8000;44;2657;0.640632390975952
3;8000;45;2673;0.62500786781311
3;8000;46;2607;0.609382390975952
3;8000;47;2610;0.593756675720215
3;8000;48;4500;2.43753051757813
3;8000;49;4593;2.56253218650818
4;16000;0;4440;2.37502932548523
4;16000;1;4593;2.54690551757813
4;16000;2;5047;2.96878743171692
4;16000;3;5000;2.93753695487976
4;16000;4;3140;1.09376358985901
4;16000;5;3983;1.95314860343933
4;16000;6;3453;1.42189145088196
4;16000;7;4907;2.8437864780426
4;16000;8;3187;1.12501406669617
4;16000;9;3360;1.32814121246338
4;16000;10;3360;1.32814049720764
4;16000;11;4796;2.73440909385681
4;16000;12;3204;1.12501406669617
4;16000;13;3670;1.62502026557922
4;16000;14;3440;1.37501668930054
4;16000;15;5546;3.53129458427429
4;16000;16;3157;1.09376335144043
4;16000;17;3560;1.51564431190491
4;16000;18;3457;1.3750171661377
4;16000;19;5513;3.48441863059998
4;16000;20;3203;1.12501406669617
4;16000;21;3437;1.40626740455627
4;16000;22;3393;1.3437659740448
4;16000;23;5094;3.0469126701355
4;16000;24;3156;1.09376358985901
4;16000;25;3420;1.37501668930054
4;16000;26;3407;1.35939121246338
4;16000;27;5110;3.06253838539124
4;16000;28;3233;1.12501430511475
4;16000;29;3687;1.60939455032349
4;16000;30;3393;1.32814121246338
4;16000;31;5217;3.15628933906555
4;16000;32;3157;1.09376358985901
4;16000;33;3406;1.35939145088196
4;16000;34;3734;1.68752098083496
4;16000;35;5080;3.04691314697266
4;16000;36;3313;1.25001573562622
4;16000;37;3357;1.32814192771912
4;16000;38;3360;1.32814145088196
4;16000;39;5126;3.06253838539124
4;16000;40;3360;1.31251692771912
4;16000;41;3357;1.32814073562622
4;16000;42;3423;1.3437647819519
4;16000;43;5064;3.0000376701355
4;16000;44;3263;1.23439025878906
4;16000;45;3360;1.32814121246338
4;16000;46;3453;1.39064145088196
4;16000;47;5157;3.07816386222839
4;16000;48;3127;1.09376335144043
4;16000;49;3436;1.39064192771912
5;32000;0;4643;2.51565599441528
5;32000;1;6124;4.00004982948303
5;32000;2;4407;2.31252908706665
5;32000;3;4763;2.64065766334534
5;32000;4;4784;2.64065766334534
5;32000;5;6436;4.35942959785461
5;32000;6;4203;2.09377598762512
5;32000;7;5204;3.09378790855408
5;32000;8;4796;2.67190718650818
5;32000;9;6064;3.95317411422729
5;32000;10;6106;4.00005006790161
5;32000;11;5127;2.98441195487976
5;32000;12;4797;2.67190837860107
5;32000;13;5953;3.76567220687866
5;32000;14;6250;4.14067697525024
5;32000;15;4173;2.03127503395081
5;32000;16;4794;2.68753266334534
5;32000;17;4596;2.50003123283386
5;32000;18;5874;3.78129768371582
5;32000;19;4376;2.26565361022949
5;32000;20;5234;3.12503862380981
5;32000;21;4626;2.51566815376282
5;32000;22;6374;4.23442816734314
5;32000;23;4156;2.03127503395081
5;32000;24;4797;2.6875331401825
5;32000;25;4703;2.57815623283386
5;32000;26;6094;3.95317411422729
5;32000;27;4190;2.04690051078796
5;32000;28;5546;3.43754196166992
5;32000;29;4687;2.53128099441528
5;32000;30;6407;4.21880340576172
5;32000;31;4263;2.10940074920654
5;32000;32;4953;2.8437831401825
5;32000;33;4674;2.54690432548523
5;32000;34;5906;3.78129768371582
5;32000;35;4344;2.21877813339233
5;32000;36;5220;3.10941219329834
5;32000;37;4686;2.56253051757813
5;32000;38;5610;3.48441863059998
5;32000;39;4250;2.12502598762512
5;32000;40;6064;3.95317196846008
5;32000;41;5000;2.87503385543823
5;32000;42;5700;3.59379482269287
5;32000;43;4516;2.32815408706665
5;32000;44;4954;2.8281581401825
5;32000;45;4673;2.54690504074097
5;32000;46;5250;3.09378862380981
5;32000;47;6390;4.28130388259888
5;32000;48;4937;2.82816004753113
5;32000;49;5220;3.09378623962402
6;64000;0;8077;5.87507319450378
6;64000;1;8140;5.89069724082947
6;64000;2;6627;4.40630459785461
6;64000;3;7530;5.29694128036499
6;64000;4;6970;4.75005960464478
6;64000;5;8140;5.90632438659668
6;64000;6;6530;4.28130173683167
6;64000;7;7313;5.07818937301636
6;64000;8;6923;4.70318365097046
6;64000;9;7814;5.59381937980652
6;64000;10;6670;4.45318031311035
6;64000;11;7580;5.32819199562073
6;64000;12;7326;5.07818865776062
6;64000;13;8000;5.78132176399231
6;64000;14;6610;4.37505435943604
