rodada;qtd_amostra;execucao;tmp_total;tmp_python;origem
0;1000;0;5406;0.125001430511475;SQL_Server
0;1000;1;2077;0.125000953674316;SQL_Server
0;1000;2;2110;0.140626430511475;SQL_Server
0;1000;3;2093;0.125000953674316;SQL_Server
0;1000;4;2127;0.171876907348633;SQL_Server
0;1000;5;2110;0.125001430511475;SQL_Server
0;1000;6;2093;0.125001430511475;SQL_Server
0;1000;7;2077;0.109376192092896;SQL_Server
0;1000;8;2080;0.125001430511475;SQL_Server
0;1000;9;2123;0.109376192092896;SQL_Server
0;1000;10;2110;0.109375238418579;SQL_Server
0;1000;11;2093;0.140625238418579;SQL_Server
0;1000;12;2110;0.109376192092896;SQL_Server
0;1000;13;2110;0.125001668930054;SQL_Server
0;1000;14;2094;0.125000953674316;SQL_Server
0;1000;15;2110;0.125001668930054;SQL_Server
0;1000;16;2093;0.109376430511475;SQL_Server
0;1000;17;2093;0.125000953674316;SQL_Server
0;1000;18;2110;0.109376430511475;SQL_Server
0;1000;19;2094;0.109376192092896;SQL_Server
0;1000;20;2063;0.125001430511475;SQL_Server
0;1000;21;2110;0.125001430511475;SQL_Server
0;1000;22;2107;0.125000953674316;SQL_Server
0;1000;23;2110;0.125000953674316;SQL_Server
0;1000;24;2093;0.125001430511475;SQL_Server
0;1000;25;2143;0.109376192092896;SQL_Server
0;1000;26;2107;0.125000953674316;SQL_Server
0;1000;27;2127;0.125001192092896;SQL_Server
0;1000;28;2343;0.125001430511475;SQL_Server
0;1000;29;2173;0.187502145767212;SQL_Server
0;1000;30;2094;0.109376192092896;SQL_Server
0;1000;31;2110;0.125000953674316;SQL_Server
0;1000;32;2076;0.125000953674316;SQL_Server
0;1000;33;2094;0.109376192092896;SQL_Server
0;1000;34;2093;0.125000476837158;SQL_Server
0;1000;35;2110;0.124999284744263;SQL_Server
0;1000;36;2093;0.125001668930054;SQL_Server
0;1000;37;2094;0.125001430511475;SQL_Server
0;1000;38;2110;0.109376192092896;SQL_Server
0;1000;39;2126;0.140626907348633;SQL_Server
0;1000;40;2094;0.125001668930054;SQL_Server
0;1000;41;2110;0.125001668930054;SQL_Server
0;1000;42;2123;0.109375715255737;SQL_Server
0;1000;43;2127;0.124999761581421;SQL_Server
0;1000;44;2097;0.109376430511475;SQL_Server
0;1000;45;2123;0.109376192092896;SQL_Server
0;1000;46;2110;0.125001668930054;SQL_Server
0;1000;47;2123;0.109376192092896;SQL_Server
0;1000;48;2094;0.125000953674316;SQL_Server
0;1000;49;2096;0.125002145767212;SQL_Server
1;2000;0;2140;0.156251668930054;SQL_Server
1;2000;1;2127;0.156251668930054;SQL_Server
1;2000;2;2157;0.156251668930054;SQL_Server
1;2000;3;2140;0.156252145767212;SQL_Server
1;2000;4;2140;0.156251668930054;SQL_Server
1;2000;5;2170;0.156252145767212;SQL_Server
1;2000;6;2126;0.156252145767212;SQL_Server
1;2000;7;2174;0.156252145767212;SQL_Server
1;2000;8;2123;0.156251668930054;SQL_Server
1;2000;9;2140;0.156249284744263;SQL_Server
1;2000;10;2127;0.156252384185791;SQL_Server
1;2000;11;2156;0.156251668930054;SQL_Server
1;2000;12;2110;0.156250715255737;SQL_Server
1;2000;13;2107;0.156251668930054;SQL_Server
1;2000;14;2140;0.156251192092896;SQL_Server
1;2000;15;2390;0.375004053115845;SQL_Server
1;2000;16;2126;0.156250476837158;SQL_Server
1;2000;17;2344;0.328128576278687;SQL_Server
1;2000;18;2126;0.156251430511475;SQL_Server
1;2000;19;2140;0.156251668930054;SQL_Server
1;2000;20;2140;0.156250953674316;SQL_Server
1;2000;21;2124;0.156251668930054;SQL_Server
1;2000;22;2143;0.156252145767212;SQL_Server
1;2000;23;2140;0.156252145767212;SQL_Server
1;2000;24;2140;0.156251192092896;SQL_Server
1;2000;25;2140;0.156252145767212;SQL_Server
1;2000;26;2156;0.156251668930054;SQL_Server
1;2000;27;2140;0.156251668930054;SQL_Server
1;2000;28;2157;0.156251192092896;SQL_Server
1;2000;29;2127;0.171875476837158;SQL_Server
1;2000;30;2123;0.156252145767212;SQL_Server
1;2000;31;2140;0.156251668930054;SQL_Server
1;2000;32;2140;0.156250953674316;SQL_Server
1;2000;33;2237;0.171877145767212;SQL_Server
1;2000;34;2156;0.156251668930054;SQL_Server
1;2000;35;2124;0.156251668930054;SQL_Server
1;2000;36;2220;0.187501668930054;SQL_Server
1;2000;37;2156;0.156251668930054;SQL_Server
1;2000;38;2140;0.156251907348633;SQL_Server
1;2000;39;2110;0.156251907348633;SQL_Server
1;2000;40;2124;0.156252145767212;SQL_Server
1;2000;41;2140;0.156251192092896;SQL_Server
1;2000;42;2140;0.171875953674316;SQL_Server
1;2000;43;2140;0.156251430511475;SQL_Server
1;2000;44;2157;0.156251668930054;SQL_Server
1;2000;45;2140;0.156251192092896;SQL_Server
1;2000;46;2110;0.156250953674316;SQL_Server
1;2000;47;2597;0.609382390975952;SQL_Server
1;2000;48;2140;0.156252384185791;SQL_Server
